condition,ai_prompt 1,6 writing related items,ai_prompt 2,6 writing related items,ai_declaration,6 writing related items (line 1),6 writing related items (line 2)
EM,"What are some contemporary social, cultural or technological issues I could use for my summative essay.",brainstorming,Examples of theoretical frameworks in my course.,brainstorming,"I used generative AI to assist with brainstorming and structuring arguments in this essay. All writing, analysis, and final decisions about content are my own.",brainstorming,rewriting
AR,"Tell me about the theoretical frameworks I can talk about within my assignment on society, innovation and sustainability",brainstorming,"Proof read my work, check for spellings and other mistakes",evaluating,My use of AI within this assignment is limited to ensure standards set by the university are met accordingly. I have not used AI to write my work or take part in aiding me form sentences and it has purely been used as a supportive tool rather than writing my work.,evaluating,
EM,"What are some contemporary issues of society, innovation and sustainability that would be suitable to write. This is for a 3000 word essay for my university",brainstorming,"What are some contemporary social cultural or technological issues related to society, innovation and sunstainability. Give me some ideas that ic ould use to write in my 3000 word essay. Explain the importance",brainstorming,"I used generative AI to help discover potential essay topics and create an initial start to the research however I personally conducted analysis, final writing and evaluation independently.",brainstorming,literature review 
MP,"Give me 5 current sustainability or technology issues for a university essay. For each issue, list 3 academic theories I can use to analyze it.",brainstorming,"""Help me create an outline for a 3,000-word essay about [insert your topic]. I need to structure the paper using these three theories: [Theory 1], [Theory 2], and [Theory 3].",writing parts,I have used AI to help support in planning and research. It has also helped me to check for any errors,literature review ,
EM,"choose a contemporary social, cultural, or technological issue and use three theoretical frameworks to analyse the topic",writing parts,provide me with some research/literature that would be relevant for the chosen topic,literature review ,"The use of artificial intelligence in this essay  was to provide broader research on the topic and to spell and grammar check the writing. No content generated with AI has been copied, or directly pasted in this essay.",literature review ,
AR,Help me read the instructions of this essay thoroughly and explain it to me,brainstorming,"Provide me with a clear step-step guideline on how to write the essay including the required structure, sections and sub-sections as well as bullet points of what should be under each",writing parts,AI was used in this project to brainstorm and provide guidance on the structure of this essay. AI was also used to assess the quality of the essay as well as grammar check and to enhance readability of the essay,brainstorming,evaluating
MP,I have an end of term essay to write (uploads the essay brief ) based on the brief what would you say are some good topics to talk about,brainstorming,"what social, cultural, or technological issue could i talk about for an essay, it has to use three theoretical frameworks introduced in this course to analyse your topic. which are  ...",brainstorming,I used AI to brainstorm ideas in which then I found research myself but had AI also look over articles for extra information to back my claims,brainstorming,literature review 
EM,"I am in the beginning stages of writing an essay for my degree. The essay question is 'choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic,' but I don't know what topic to pick or how to go about analysing it using the frameworks we've been given. Would you be able to assist?",writing parts,"I have to write an essay for my degree. The prompt is 'choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic.' If I give you a topic, would you be able to suggest some recommended readings for me to begin with?",literature review ,"AI was used for this assignment for the formulation and organisation of ideas, essay structure, and register-checking. AI was not used to (re)write this assignment in partial or in full. Any mistakes remain my own.",brainstorming,evaluating
MP,"Hey Gemini, I need to write a 3000 word summative assignment for Society, Innovation and Sustainability, could you give me a detailed breakdown of three key issues along with a theoretical framework for each issue for to use in this assignment.",brainstorming,"Based upon the issue and theoretical framework we have chosen and discussed, give me a list of academic sources to read to help strengthen my understanding on this topic.",literature review ,"In this essay I have utilised Ai (specifically Google Gemini) to aid in the brainstorming of ideas and frameworks to use for those ideas.
I have also used Ai to aid in the gathering of sources to improve my understanding on the topic and framework used in this assignment.",brainstorming,literature review 
MP,Can you help break down what this assignment is asking me to do.,brainstorming,Please help me with structuring this assignment.,writing parts,"Generative artificial intelligence (AI) tools were used in a limited and supportive capacity during the development of this assignment. Specifically, AI was utilised to facilitate initial brainstorming of potential approaches to the essay question and to provide suggestions for improving the clarity, structure, and expression of sections that I had already drafted.


The selection and interpretation of academic sources, development of arguments, critical analysis, synthesis of literature, and all substantive content presented in this assignment are entirely my own work. 


Full responsibility for the content, accuracy, academic integrity, and conclusions of this assignment remains with the author",brainstorming,rewriting
AR,structure plan for 3000 summative essay,writing parts,summary of contemporary sustainability issue,summarising,"AI has been used to plan the structure of this essay.
AI has been used to select a topic to evaluate in this essay.",brainstorming,writing parts
MP,"Hi, please using my attached essay plan can you provide an essay structure and template including my arguments from both points of the view of the essay question.",writing parts,"Please review the work I have done, ensure it is UK english and flows naturally in accordance with the mark scheme for a first class or above attached here: ...",writing parts,"I hereby state that Ai has not been used except within the bounds of the limited Generative AI-use Policy for Society, Innovation and Sustainability for the academic year 2025/26. The work submitted is my own and does not contain any plagarism.",,
AR,Help me create a 3000 word essay for a contemporary cultural issue,writing parts,It should contain 3 theoretical frameworks to analyse the topic,writing parts,I have used AI in this essay. AI use was limited to checking and formatting the essay and generating ideas.,brainstorming,
MP,"I am writing an essay on *insert topic* please can you help me work out a structure for the essay, here is my current notes *instert about 1 page of bullet points from my own personal reading*",writing parts,*here is my draft* please can you review this draft and give me feedback on the flow and any structural changes?,evaluating,"I have used Chat GPT to refine my writing through feedback and minor editing, all ideas and arguements are my own.",rewriting,evaluating
MP,"Write me an introduction for an essay on the following: choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic.",writing parts,"For the following essay: choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic - provide some ideas on good theoretical frameworks that I could use",literature review ,"I used generative AI tools to support the planning and drafting stages of this assignment, including generating ideas and refining the wording of selected sections. All final content was reviewed, edited, and critically evaluated by me, and I take full responsibility for the accuracy and integrity of the submitted work.",brainstorming,
MP,"Hi! I need to write an essay about contemporary social, cultural, or technological issue that really bother me nowadays and how I can use be innovative and sustainable about it",writing parts,What strucutre woull you reccomend for writing the essay,writing parts,AI is sufficient for me to create ideas and have opportunities to write a structured essay,brainstorming,
EM,"I have to write a paper looking at theoretical frameworks on a contemporary social, cultural or technological issue. I want to focus on gender inequality. Based on the question given please explore what theoretical frameworks I can use",brainstorming,"I'm using this theoretical framework to talk about this specific topic, and my rationale is XYZ. How would I outline a 3000 word essay to make my argument.",writing parts,"I used AI to brainstorm for my essay, draft an outline based on the key arguments I was making, and support the rewording of several of the highlighted arguments.",brainstorming,rewriting
AR,"As a post grad student at LSE, I have been given a task to wrote a 3000-word summative essay for contemporary social, cultural, or technological issue as part of my Society, Innovation and Sustainability class. Kindly help me with the structures of the essay that require three theoretical frameworks (refer to course readings attached) and suggest me other readings that might complement my draft as below: .....",writing parts,"From this draft of mine, can you check the grammar or structural error and suggest the correction. Can you also check the correctness of in-text citation with the bibliography, if there is any mismatch.",evaluating,"I use Claude to check the grammar, structure of the draft. I, myself who re-wrote the suggestion, but not copy pasting directly from AI.


I use Gemini to generate the graph based on the data that I provided myself in Google Sheet.


I use Claude to check the in-text citation and bibliography to ensure they match.",rewriting,evaluating
EM,Please check this text for grammatical accuracy and suggest a certain amount of words I could cut to stay under the word count.,rewriting,"N/A, I would not use AI in such a scenario for anything else.",no AI,"For this assignment, generative AI tools were used for checking the grammatical accuracy of this text. They were not used to actually rewrite the text, just show me what a clearer sentence would look like, all the writing is mine. Generative AI was not use for other purposes.",rewriting,
MP,I would never use AI. Fuck AI,no AI,I would read papers myself,no AI,"The use of AI spits in the face of human thought and lives. It can only reproduce already created knowledge— why would I use AI when 1) I can read it myself and 2) the aim of research is to push the bounds of what has been studied? With OpenAI being the biggest funder of ICE, saying “I just use it a little” or “just to brainstorm my thoughts because I’m stuck” is such a privilege way of saying “my incapabilities are worth more than other human lives. My grade doesn’t matter over lives— neither does anyone else’s. The only way we learn is through failure. People are so scared to fail so they use AI, and thus, you never learn. It’s a disrespect to your own intelligence.",no AI,
MP,"Help me find a contemporary social, cultural, or technological issue related to sustainability",brainstorming,"Help me identify papers on critical contemporary social, cultural, or technological issues",literature review ,The following submission is based on the intellectual property of the student. AI was used to support the literature review process and background information search. The argumentation is based on the student's own arguments.,literature review ,
EM,"I am uploading my course syllabus and my summative assignment guidelines. This is my topic (I’d pick the topic on my own) based on this, identify the 3-4 most relevant theoretical frameworks from the syllabus and illustrate why",evaluating,I am sharing my completed summative assignment with you and the summative question. Identify areas where changes are required and don’t match the summative question. Also identify what can I add to change this into a distinction level essay.,evaluating,Generative AI was utilised for the purpose of refining language and conducting literature review. AI was not used for the purpose of writing the essay but only to evaluate against the summative assessment question.,literature review ,evaluating
MP,"Hi, I have the following assignment to write: (Assignment Instructions) looking back through my lecture notes I would like to discuss X topic and use these three theoretical frameworks: 1), 2), 3),. What do you think about my choice? Do you have any tips when I'm planning my essay. Please look at my lecture slides  (...) do you think I chose well in my theoretical framework Choices or is there a different one you think I should definitely discuss as well better than one of the ones I chose? Can you send me a list of papers I should look into when reading for my essay please make sure they are available on Google scholar and are from well known academic journals with a acceptable amount of citations. Do you have anything to note before I write or plan my essaym?",evaluating,Thanks. I have now written a draft essay please read through it critically and look at my assignment criteria and instructions (...). How do you think I can improve? Where do you think I can extend what are my strengths? I am over the word count where would you cut words?,writing parts,"For this Assignment I used AI to evaluate my choice in Topic and my choice in Frameworks which I made based on the lecture slides. Once I wrote my draft I asked AI to evaluate my draft and give me feedback based on assignment criteria where I could improve, extend or cut my work.",evaluating,rewriting
AR,What are some societal impacts of electric cars based on variations in electricity sources?,evaluating,What are counterarguments I have not considered which could challenge (my thesis)?,writing parts,"I don't use AI, but for this hypothetical:


I used generative AI to brainstorm ideas after choosing my initial topic. I also used AI to provide counterarguments to look for weaknesses in my thesis.",brainstorming,evaluating
AR,"Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic- this is the summary of my course and assignment brief. I have also attached a syllabus. What topics might I write my essay on?",brainstorming,Can you read this essay and give me feedback on it's content in line with the guidelines?,evaluating,"I have used AI briefly to suggest ideas for the essay, and also to evaluate my essay for any syntax or content mistakes.",brainstorming,evaluating
MP,I do not use ai at all so I would never do this,no AI,See above,no AI,N/a,no AI,
AR,"Chat, please read this outline for the my essay and tell me if I am missing any important authors or points to build the essay. Remember that it is a 3000 words essay. Provide comments on how to improve the outline and highlight any conceptual problems.",evaluating,"Plase help me point out places of this essay were i can cut words. I have to reach a 3000 word limit, but I dont want to get rid of anyargument. Read the essay and suggest places to cut to reach the limit.",evaluating,"IA was used in this submission to revise grammar, synthesize paragraphs, and evaluate arguments.",summarising,evaluating
EM,"Please give me essey idea for this subject that are in correspondence with my interests and are good fit for syllabus were working with. With that, please give me at least 10 references to read that are in my syllabus or are connectied to. The topic of my research and report",literature review ,"Please rewrite this so it uses academic and professional tone, check and improve grammar and spelling. Make sure that the references list is in correct Oxford style. If I made a mistake please correct it but let me know what was the mistake",rewriting,"This text was revised using Grammarly to enhance grammatical accuracy, syntactic clarity, and overall precision of expression. The idea and brainstorming were done by using Claude. The tool was employed to support the refinement of language without altering the substantive content or analytical intent of the original draft.",brainstorming,
MP,"I've attached the instructions for my summative essay, and a table with the articles that I found interesting that cover three theoretical frameworks that were introduced in the course. Can you make sure that I'm not missing important articles, and that the articles that I've chosen don't leave anything important out from my literature review?",literature review ,"I've finished the first draft of my summative essay. Can you proofread it for me and make suggestions of editions following the prompt that I've attached in the chat? The prompt specifies guidelines to follow. Prompt: Apply ""On Writing Well"" principles to tighten an academic article You are an editorial assistant. Your task is to improve the prose of the article provided below by applying the core principles from William Zinsser's On Writing Well. The goal is to make the writing tighter, more direct, and more engaging, while preserving the author's voice, analytical structure, argumentation, and all substantive content (including footnotes and citations). Guiding principles (drawn from Zinsser):  Eliminate clutter. Cut every word that serves no function: filler phrases (""it is important to note that,"" ""it should be mentioned that,"" ""as can be seen""), redundant adjectives, and throat-clearing introductions to paragraphs. If a sentence works without a word, drop it. Prefer active constructions. Passive voice is acceptable when the agent is unknown or irrelevant, but default to active voice wherever the author is making an argument or reporting what someone did. Replace ""it will be argued that X"" with ""this article argues X"" or simply state X directly. One idea per sentence. Break compound sentences that stack multiple propositions with semicolons or relative clauses. If a sentence has more than one main idea, it should probably be two sentences. Use strong verbs. Replace nominalisations with their verb forms (""an examination of"" becomes ""examining""; ""the application of"" becomes ""applying""). Avoid weak verb + noun combinations when a single verb will do. Cut meta-commentary about the article's own structure. Phrases like ""the following paragraphs will identify,"" ""as will be explained,"" ""having explained the overall role of X, the task of Y will be undertaken"" tell the reader about the writing instead of doing the writing. Reduce signposting to the minimum needed for navigation. A short transitional sentence is fine; a full paragraph announcing what comes next is not. Be direct in authorial positions. When the author takes a stance, state it plainly. Replace hedged formulations (""it can be argued that,"" ""it appears that,"" ""it is reasonable to suggest"") with direct assertions. Vary sentence length and rhythm. After several long analytical sentences, use a short declarative sentence for emphasis. Zinsser calls this ""the music of the language."" Paragraph craft. Each paragraph should earn its opening sentence and end with something worth landing on. If two consecutive paragraphs make the same point, merge or cut one. Check that transitions between paragraphs carry the reader forward rather than repeating what was just said. Do not use em dashes. The author's style avoids them. Use commas, parentheses, or restructure the sentence instead.  Preserving voice: The goal is to remove clutter around the author's voice, not to replace it. Preserve the author's distinctive turns of phrase, humor, personality, and rhetorical choices. Zinsser's point is that good writing sounds like a person. Do not homogenize the prose into a generic ""clean"" academic style. Calibrating intensity: Focus your edits on the passages that need them most. If a sentence is already clean and direct, leave it alone. Not every paragraph needs intervention. Prioritize: (a) sections where clutter obscures the argument, (b) passages with heavy throat-clearing or excessive signposting, (c) sentences where passive voice or nominalisations weaken an otherwise strong point. Word count: [IF APPLICABLE: The article targets approximately X words including footnotes but excluding bibliography. Keep this in mind when deciding how aggressively to cut. / IF NOT APPLICABLE: Delete this section.] Constraints:  Do NOT change the article's structure (section numbering, headings, order of arguments). Do NOT alter, remove, or renumber any footnotes. Keep footnote markers exactly where they are. Do NOT change technical terminology, proper names, or citations. Do NOT add new substantive arguments or remove existing ones. Do NOT change the meaning of any sentence. If tightening a sentence risks altering its meaning, leave it as is and flag it with a comment. Keep the register appropriate for a peer-reviewed academic journal in the article's field.  Tracking changes: Where you make a significant change, add a brief bracketed comment with a before/after justification. For example: [Changed ""it is important to recognise that the framework operates"" to ""the framework operates"" because the original used 9 words to say what 3 words say]. Minor edits (cutting a single filler word, switching passive to active) do not need comments unless the change could be misread as altering meaning. Output format: Produce the full revised text with bracketed comments inline, not a separate list of suggestions. The article to edit follows below:",rewriting,"I declare that I have use limited AI in my summative essay. I mainly used it for complementing and checking my references, making sure that I'm not missing out on important references, and for giving me suggestions of edition of a completed draft of the essay.",rewriting,literature review 
EM,"Choose a relevant social issue,select the 3 best theories from my course that would fit it. Do indepth analysis neccessary for a high scoring essay.",evaluating,Make sure to make it as structured as possible with no ghost references,evaluating,I used AI to translate my rough ideas into an intelligible form. I also used it for proper structuring.,brainstorming,
AR,(Paste the assignment prompt and attach course syllabus) Suggested steps on how to go about this assignment.,brainstorming,"I am interested in x, y and z. Which of these do you think is the strongest option to work with?",evaluating,"AI was used to pick a topic from multiple options, craft an essay plan and provide feedback on the essay in accordance with the prompt and syllabus.",brainstorming,evaluating
MP,"I am writing my summative assignment for the course The Social Psychology of Communication. My topic is the following: ""Discuss the analogy of ‘inoculation’ in relation to the communication problems of ‘fake news’ and disinformation and whether this is an appropriate metaphor and a viable approach"". I have to use two Communication theories from my course, which I will provide later. Your role is of a writing assistant and a tutor/thinking partner who will help me not only with the writing, editing and proofreading of the text, but also help me with the explanation of some concepts from my readings, brainstorming, suggest ideas and question them. As a writing assistant: 1. Eliminate redundancies while preserving all original ideas. 2. Maintain any existing subheadings or structural elements I specify. 3. Connect ideas using subtle transitions rather than explicit transitional phrases. 4. Use formal academic writing style. 5. Ensure subject-verb agreement, correct verb forms, and appropriate word choices. 6. Preserve my voice and argumentation logic. After editing, provide: - The revised text with a word count. - A list of grammar, spelling, or usage errors found in my original draft, with explanations. As a thinking partner: 1. Help me understand the concepts from the theories that I find difficult 2. Give suggestions to improve my thinking and detect flaws in my arguments, in case you find them. 3. Ask for clarification when I ask or write something that is not fully clear, to be able to provide a better answer. Before starting, confirm understanding of these instructions and ask for details that you consider relevant to make a better response, then suggest improvements for this prompt for the purpose of this task so I can then save it for future work. Ready?",writing parts,The same as prompt 1 but adapted to different purposes. I follow a similar logic,evaluating,It would be too long as I usually paste the whole prompt and responses.,,
AR,"I'm writing a 3000 words essay analysing a contemporary issue using 03 theoretical frameworks from sociology, economics or Science tech studies. I'm drawn to topics like AI or climate tech. Can you suggest which topics pair well with 03 distinct frameworks without writing anything for me?",brainstorming,My essay argues XYZ using ABC theory and technological politics. What are the weaknesses or tensions in this approach? Give me critical feedback,evaluating,"I used generative AI at multiple stages of this assignment. During the planning stage, I used it to brainstorm topic and framework pairings, using its suggestions to inform and refine my own ideas. Throughout the writing process, I relied on AI assistance to correct grammar, restructure sentences and rephrase content to meet the word count. I also used AI toevaluate my argument and overall approach against the marking criteria, using its feedback to strengthen my submission before finalising it..",evaluating,rewriting
MP,"Having the following assignment instructions, propose a few assignment structures",writing parts,Check my assignment if it comply with apa7,evaluating,I used the following Gen-AI programmes for the following purposes: ...,,
EM,These are my potential topics: 1. Xxxxx 2. Xxxxx 3. Xxxxx Which is the most viable and most impactful topic? Are there any other areas or topics that would be good for this assignment and align with my interests?,evaluating,Create a skeletal essay structure for this topic including the following parts/themes/ideas 1. Xxxxx 2. Xxxxxx 3. Xxxxx,writing parts,AI was used only to assist in basic ideation and essay structuring.,brainstorming,
MP,"Theoretical frameworks Society, Innovation and Sustainability",brainstorming,"Contemporary social, cultural, or technological issues about society  innovation and sustainability",brainstorming,I would not attach a declaration. I don't think the way I use it needs reporting.,,
EM,"Good Afternoon mate, it's time for us to work on a new essay once again.",writing parts,"Today's essay is 3,000 words. The topic of choice is the overbloated valuation of AI corporations, and the danger their financial bubble poses to the overall economy.",writing parts,"My use of AI in this essay was limited to a back-and-forth conversation where we discussed the topic and the strength of my proposed arguments, finding holes and weaknesses, and strengthening them where I could. AI was not involved in a single word placed in this essay, it was all thought of and written by me.",evaluating,
MP,What kind of theoretical frameworks that I could apply to vaccine hesitancy toward innovative vaccine technology?,evaluating,"Based on your answer, fetch me articles that I can read and use as reference. Articles should be published in peer-review journals.",literature review ,"I used AI for polishing my English, searching articles, summarizing reference articles to get a clue whether to read the full text or not.",literature review ,summarising
AR,"Please, look at this outline and flag any problems, give me comments or ideas form improvement. Also flag any criteria I am missing in order to hit a distinction grande.",evaluating,"Hey Claude, check this essay and flag any places or paragraphs where I could cut words. I need to hit 3000 words",evaluating,"Claude specific model was used to check outline coherence, reduce writing size and check grammar.",rewriting,
